,runtime
0,111.44154119491577
1,39.90761613845825
2,7.563855409622192
3,12.902602195739746
4,112.16341018676758
5,111.68907260894775
6,111.71665406227112
7,71.46893787384033
8,10.656428813934326
9,112.51798415184021
10,111.90680122375488
11,112.61448884010315
12,7.750535488128662
13,112.74056935310364
14,111.48054051399231
15,8.889431238174438
16,34.628440856933594
17,17.365767240524292
18,9.156686305999756
19,112.98107862472534
20,12.866606712341309
21,112.25692820549011
22,9.873364925384521
23,38.912702798843384
24,9.837352752685547
25,12.060630798339844
26,8.020012378692627
27,12.149069547653198
28,111.91950726509094
29,112.72382736206055
