,runtime
0,111.04937958717346
1,39.739487409591675
2,7.476673603057861
3,12.759350776672363
4,111.99373269081116
5,111.48738121986389
6,111.15359354019165
7,71.2647271156311
8,10.710674285888672
9,112.22439861297607
10,111.8827292919159
11,112.6307761669159
12,7.6424949169158936
13,112.24698972702026
14,111.92935180664062
15,8.950656652450562
16,34.998790979385376
17,17.21188712120056
18,9.289244174957275
19,112.6427857875824
20,12.941948175430298
21,112.53241658210754
22,10.087206602096558
23,38.97206401824951
24,9.790756464004517
25,12.091548681259155
26,8.015815019607544
27,12.361560344696045
28,111.74306917190552
29,112.21740508079529
